Measure,Session Year,Subject,Author,Status
AB-1,2009 - 2010,Teachers: program of professional growth: conflict resolution.,Monning,Vetoed
ABX1-1,2009 - 2010,Taxation: corporate reorganizations: built-in losses.,Charles Calderon,Assembly - Died
ABX2-1,2009 - 2010,State employment: salary freeze.,Portantino,Assembly - Died
ABX3-1,2009 - 2010,2009–10 Budget.,Evans,Senate - Died
ABX4-1,2009 - 2010,Budget Act of 2009: revisions.,Evans,Chaptered
ABX5-1,2009 - 2010,School accountability.,Solorio,Assembly - Died
ABX6-1,2009 - 2010,Taxation: Oil Industry Fair Share Act.,Nava,Assembly - Died
ABX7-1,2009 - 2010,Public resources.,Fuller,Assembly - Died - Rules
ABX8-1,2009 - 2010,Budget Act of 2009.,Committee on Budget,Chaptered
AB-1,2011 - 2012,Education finance: CalWORKs Stage 3.,John A. Pérez,Assembly - Died
ABX1-1,2011 - 2012,State employment: salary freeze.,Portantino,Assembly - Died
AB-1,2013 - 2014,Water quality: integrated plan: Salinas Valley.,Alejo,Assembly - Died - Appropriations
ABX1-1,2013 - 2014,Medi-Cal: eligibility.,John A. Pérez,Chaptered
AB-1,2015 - 2016,Drought: local governments: fines.,Brown,Chaptered
ABX1-1,2015 - 2016,Transportation funding.,Alejo,Assembly - Died
ABX2-1,2015 - 2016,Developmental services: Medi-Cal: funding.,Thurmond,Chaptered
AB-1,2017 - 2018,Transportation funding.,Frazier,Assembly - Died - Transportation
AB-1,2019 - 2020,Youth athletics: California Youth Football Act.,Cooper,Chaptered
AB-1,2021 - 2022,Hazardous waste.,Cristina Garcia,Assembly - Appropriations
AB-2,2009 - 2010,Individual health care coverage.,De La Torre,Vetoed
ABX1-2,2009 - 2010,"Sales, use, income, fuel, and oil severance taxes.",Evans,Vetoed
ABX2-2,2009 - 2010,Lending.,Lieu,Assembly - Died
ABX3-2,2009 - 2010,VLF state parks fee: fuel taxes: emergency services surcharge: cigarettes and other tobacco products tax: oil severance tax.,Evans,Assembly - Died
ABX4-2,2009 - 2010,Education.,Evans,Chaptered
ABX5-2,2009 - 2010,Public schools: Race to the Top application.,Coto,Assembly - Died
ABX6-2,2009 - 2010,State employment: salary freeze.,Portantino,Assembly - Died
ABX7-2,2009 - 2010,Environment: environmental mitigation.,Blakeslee,Assembly - Died - Rules
ABX8-2,2009 - 2010,Budget Act of 2010.,Committee on Budget,Vetoed
AB-2,2011 - 2012,Postsecondary education: Educational and Economic Goals for California Higher Education.,Portantino,Senate - Died - Appropriations
ABX1-2,2011 - 2012,State Air Resources Board: alternative actions to assessing penalties.,Logue,Assembly - Died
AB-2,2013 - 2014,Sex offenders: parole violations.,Morrell,Assembly - Died - Public Safety
ABX1-2,2013 - 2014,Health care coverage.,Pan,Chaptered
AB-2,2015 - 2016,Community revitalization authority.,Alejo,Chaptered
ABX1-2,2015 - 2016,Transportation projects: comprehensive development lease agreements.,Perea,Assembly - Died
ABX2-2,2015 - 2016,Medi-Cal and developmental services: funding: rates.,Bonta,Senate - Died - Rules
AB-2,2017 - 2018,Hate crimes: peace officers.,Obernolte,Assembly - Died - Public Safety
AB-2,2019 - 2020,Community colleges: California College Promise.,Santiago,Chaptered
AB-2,2021 - 2022,Regulations: legislative review: regulatory reform.,Fong,Assembly - Accountability and Administrative Review
AB-3,2009 - 2010,Workforce development: Renewable Energy Workforce Readiness Initiative: local workforce investment boards.,V. Manuel Perez,Vetoed
ABX1-3,2009 - 2010,Office of Statewide Health Planning and Development: plan review.,Evans,Vetoed
ABX2-3,2009 - 2010,Air pollution: grants: farm equipment.,Galgiani,Senate - Died
ABX3-3,2009 - 2010,Income taxes: sales and use taxes: vehicle license fees.,Evans,Chaptered
ABX4-3,2009 - 2010,Education finance.,Evans,Chaptered
ABX5-3,2009 - 2010,Charter schools.,Torlakson,Assembly - Died
ABX6-3,2009 - 2010,Economic development.,Blakeslee,Assembly - Died
ABX7-3,2009 - 2010,California regional water quality control boards.,Jeffries,Assembly - Died - Rules
ABX8-3,2009 - 2010,Fines and forfeitures: forensic laboratories: Alcohol Beverage Control Fund: inmate education.,Committee on Budget,Chaptered
AB-3,2011 - 2012,Vehicles: confidential home addresses: citations.,Miller,Assembly - Died - Appropriations
ABX1-3,2011 - 2012,Regulations: 5-year review and report.,Logue,Assembly - Died
AB-3,2013 - 2014,Income taxes: credits: film.,Bocanegra,Assembly - Died - Rules
ABX1-3,2013 - 2014,California Health Benefit Exchange: employees and contractors.,Conway,Assembly - Died
AB-3,2015 - 2016,Isla Vista Community Services District.,Williams,Chaptered
ABX1-3,2015 - 2016,Transportation funding.,Frazier,Legislature - Died
ABX2-3,2015 - 2016,Developmental services: provider rates: minimum wage.,Chu,Assembly - Died
AB-3,2017 - 2018,Firearms: age restrictions.,Bonta,Senate - Died - Appropriations
AB-3,2019 - 2020,Cannabis: Adolescent Cannabis Prevention Fund.,Cooper,Assembly - Died - Appropriations
AB-3,2021 - 2022,Exhibition of speed on a highway: punishment.,Fong,Senate - Pending Referral
AB-4,2009 - 2010,Constitutional convention: delegates.,Blakeslee,Assembly - Died - Judiciary
ABX1-4,2009 - 2010,Budget Act of 2008.,Evans,Vetoed
ABX2-4,2009 - 2010,Public contracts: design-build: public-private partnerships.,Niello,Senate - Died
ABX3-4,2009 - 2010,Transportation finance.,Evans,Assembly - Died
ABX4-4,2009 - 2010,Human services.,Evans,Chaptered
ABX5-4,2009 - 2010,Chino Valley Unified School District: minimum schoolday.,Hagman,Assembly - Died
ABX6-4,2009 - 2010,Income taxation: exclusion: grants for specified energy property.,V. Manuel Perez,Assembly - Died
ABX7-4,2009 - 2010,State Water Resources Control Board: water quality certifications.,Jeffries,Assembly - Died - Rules
ABX8-4,2009 - 2010,Social services.,Committee on Budget,Assembly - Died
AB-4,2011 - 2012,Human remains: hydrolysis.,Miller,Assembly - Died - Appropriations
ABX1-4,2011 - 2012,Regulations: effective date.,Logue,Assembly - Died
AB-4,2013 - 2014,State government: federal immigration policy enforcement.,Ammiano,Chaptered
ABX1-4,2013 - 2014,Health care.,Wilk,Assembly - Died
AB-4,2015 - 2016,Vehicle weight fees: transportation bond debt service.,Linder,Assembly - Died - Transportation
ABX1-4,2015 - 2016,Transportation funding.,Frazier,Senate - Died - Rules
ABX2-4,2015 - 2016,Managed care organization provider tax.,Levine,Assembly - Died - Public Health and Developmental Services
AB-4,2017 - 2018,Voter notification.,Waldron,Chaptered
AB-4,2019 - 2020,Medi-Cal: eligibility.,Arambula,Senate - Died - Health
AB-4,2021 - 2022,Medi-Cal: eligibility.,Arambula,Assembly - Appropriations
AB-5,2009 - 2010,Civil discovery: Electronic Discovery Act.,Evans,Chaptered
ABX1-5,2009 - 2010,Transportation projects.,Evans,Vetoed
ABX2-5,2009 - 2010,Employment: alternative workweek schedules.,Gaines,Chaptered
ABX3-5,2009 - 2010,Health.,Evans,Chaptered
ABX4-5,2009 - 2010,Health.,Evans,Chaptered
ABX5-5,2009 - 2010,Education: teacher credentialing.,Nestande,Assembly - Died
ABX6-5,2009 - 2010,Income tax credit: qualified principal residence.,Caballero,Assembly - Died
ABX7-5,2009 - 2010,State Water Resources Development System: Delta Corridors Plan.,Bill Berryhill,Assembly - Died - Rules
ABX8-5,2009 - 2010,State cash resources.,Committee on Budget,Chaptered
AB-5,2011 - 2012,Teachers: best practices teacher evaluation system.,Fuentes,Senate - Died
ABX1-5,2011 - 2012,Regulations: legislative notice.,Logue,Assembly - Died
AB-5,2013 - 2014,Homelessness.,Ammiano,Assembly - Died - Appropriations
AB-5,2015 - 2016,Foster youth: transition from high school to postsecondary education.,Nazarian,Assembly - Died - Human Services
ABX1-5,2015 - 2016,Income taxes: credits: low-income housing: farmworker housing assistance.,Roger Hernández,Assembly - Died
ABX2-5,2015 - 2016,Developmental services: regional center contracts.,Santiago,Assembly - Died
AB-5,2017 - 2018,Employers: Opportunity to Work Act.,Gonzalez,Assembly - Died - Appropriations
AB-5,2019 - 2020,Worker status: employees and independent contractors.,Gonzalez,Chaptered
AB-5,2021 - 2022,Greenhouse Gas Reduction Fund: High-Speed Rail Authority: K–12 education: transfer.,Fong,Assembly - Transportation
AB-6,2009 - 2010,Initiatives: paid circulators.,Saldana,Vetoed
ABX1-6,2009 - 2010,State finances.,Evans,Vetoed
ABX2-6,2009 - 2010,Budget Act of 2008.,Evans,Assembly - Died
ABX3-6,2009 - 2010,Human services.,Evans,Senate - Died
ABX4-6,2009 - 2010,Medi-Cal.,Evans,Chaptered
ABX5-6,2009 - 2010,Teacher credentialing: county-issued eminence credential.,Nestande,Assembly - Died
ABX6-6,2009 - 2010,Taxation.,Ammiano,Assembly - Died
ABX7-6,2009 - 2010,Water diversion and use: reporting.,De Leon,Assembly - Died - Rules
ABX8-6,2009 - 2010,Sales and use taxes: motor vehicle fuel tax: diesel fuel tax.,Committee on Budget,Chaptered
AB-6,2011 - 2012,CalWORKs and CalFresh.,Fuentes,Chaptered
ABX1-6,2011 - 2012,Regulations: economic impacts review.,Logue,Assembly - Died
AB-6,2013 - 2014,Income tax credits: prewiring for alternative energy sources.,Gorell,Assembly - Died - Revenue and Taxation
AB-6,2015 - 2016,Bonds: transportation: school facilities.,Wilk,Assembly - Died - Transportation
ABX1-6,2015 - 2016,Affordable Housing and Sustainable Communities Program.,Roger Hernández,Assembly - Died
ABX2-6,2015 - 2016,Electronic cigarettes.,Cooper,Assembly - Died
AB-6,2017 - 2018,Local ballot measures: statement of the measure.,Obernolte,Senate - Died - Elections and Constitutional Amendments
AB-6,2019 - 2020,Attorney General: duties.,Reyes,Senate - Died - Budget and Fiscal Review
AB-6,2021 - 2022,Health facilities: pandemics and emergencies: best practices.,Levine,Assembly - Appropriations
AB-7,2009 - 2010,Interscholastic athletics: High School Baseball Safety Act of 2010.,Huffman,Senate - Died
ABX1-7,2009 - 2010,Budget Act of 2008.,Evans,Vetoed
ABX2-7,2009 - 2010,Residential mortgage loans: foreclosure.,Lieu,Chaptered
ABX3-7,2009 - 2010,State funds: registered warrants.,Evans,Chaptered
ABX4-7,2009 - 2010,Public social services: statewide enrollment process.,Evans,Chaptered
ABX5-7,2009 - 2010,Teachers.,Nestande,Assembly - Died
ABX6-7,2009 - 2010,Taxation: cancellation of indebtedness: mortgage debt forgiveness.,Blakeslee,Assembly - Died
ABX7-7,2009 - 2010,Water Infrastructure Bond Act.,Caballero,Assembly - Died - Rules
ABX8-7,2009 - 2010,Environmental pollution: program funding.,Committee on Budget,Chaptered
AB-7,2011 - 2012,State employment: salary freeze.,Portantino,Assembly - Died - Appropriations
ABX1-7,2011 - 2012,General Fund: fines.,Logue,Assembly - Died
AB-7,2013 - 2014,Oil and gas: hydraulic fracturing.,Wieckowski,Assembly - Died
AB-7,2015 - 2016,Public schools: Larry Itliong Day.,Bonta,Chaptered
ABX1-7,2015 - 2016,Public transit: funding.,Nazarian,Assembly - Died
ABX2-7,2015 - 2016,Smoking in the workplace.,Mark Stone,Chaptered
AB-7,2017 - 2018,Firearms: open carry.,Gipson,Chaptered
AB-7,2019 - 2020,Daylight saving time.,Chu,"Senate - Died - Energy, Utilities and Communications"
AB-7,2021 - 2022,Emergency ambulance employees: multithreat body protective gear.,Rodriguez,Assembly - Appropriations
AB-8,2009 - 2010,Education finance: working group.,Brownley,Vetoed
ABX1-8,2009 - 2010,Department of Corrections and Rehabilitation.,Committee on Budget,Vetoed
ABX2-8,2009 - 2010,State government.,Nestande,Chaptered
ABX3-8,2009 - 2010,State and local government.,Evans,Senate - Died
ABX4-8,2009 - 2010,Human services.,Evans,Chaptered
ABX5-8,2009 - 2010,Public schools: Race to the Top.,Brownley,Senate - Died - Education
ABX6-8,2009 - 2010,False advertising.,Beall,Assembly - Died
ABX7-8,2009 - 2010,Water conservation.,Feuer,Assembly - Died - Rules
ABX8-8,2009 - 2010,Franchise Tax Board: State Board of Equalization: administration.,Committee on Budget,Assembly - Died - Rules
AB-8,2011 - 2012,Division of Juvenile Justice: facilities: closures.,Huber,Assembly - Died - Public Safety
ABX1-8,2011 - 2012,Transportation bond funds.,Ma,Assembly - Died
AB-8,2013 - 2014,Alternative fuel and vehicle technologies: funding programs.,Perea,Chaptered
AB-8,2015 - 2016,Emergency services: hit-and-run incidents.,Gatto,Chaptered
ABX1-8,2015 - 2016,Diesel sales and use tax.,Chiu,Assembly - Died
ABX2-8,2015 - 2016,Tobacco products: minimum legal age.,Wood,Assembly - Died
AB-8,2017 - 2018,Mountain lions: depredation permits.,Bloom,"Assembly - Died - Water, Parks and Wildlife"
AB-8,2019 - 2020,Pupil health: mental health professionals.,Chu,Senate - Died - Health
AB-8,2021 - 2022,Unemployment benefits: direct deposit.,Smith,Assembly - Insurance
AB-9,2009 - 2010,Political Reform Act of 1974: expenditures.,John A. Perez,Chaptered
ABX1-9,2009 - 2010,Budget Act of 2008.,Evans,Senate - Died
ABX3-9,2009 - 2010,Proposition 10: use of funds: services for children.,Evans,Assembly - Died
ABX4-9,2009 - 2010,Developmental services.,Evans,Chaptered
ABX6-9,2009 - 2010,Marijuana Control and Regulation Act of 2010.,Ammiano,Assembly - Died
ABX7-9,2009 - 2010,Sacramento-San Joaquin Delta: Delta Protection Commission: Delta conservancy.,Bass,Assembly - Died - Rules
ABX8-9,2009 - 2010,Transportation finance.,Committee on Budget,Chaptered
AB-9,2011 - 2012,Pupil rights: bullying.,Ammiano,Chaptered
ABX1-9,2011 - 2012,Taxation: vehicle license fees.,Chesbro,Assembly - Died
AB-9,2013 - 2014,Income taxes: credits: enterprise zone.,Holden,"Assembly - Died - Jobs, Economic Development, and the Economy"
AB-9,2015 - 2016,Gambling: Internet poker: unlawful gambling activity.,Gatto,Assembly - Died - Governmental Organization
ABX1-9,2015 - 2016,Richmond-San Rafael Bridge.,Levine,Assembly - Died
ABX2-9,2015 - 2016,Tobacco use programs.,Thurmond,Chaptered
AB-9,2017 - 2018,Sales and use taxes: exemption: sanitary napkins: tampons: menstrual sponges and menstrual cups.,Cristina Garcia,Assembly - Died - Appropriations
AB-9,2019 - 2020,Employment discrimination: limitation of actions.,Reyes,Chaptered
AB-9,2021 - 2022,Fire safety: wildfires: fire adapted communities.,Wood,Assembly - Local Government
AB-10,2009 - 2010,Public funding: actions.,Hagman,Assembly - Died - Elections and Redistricting
ABX1-10,2009 - 2010,Prison facilities: construction.,Committee on Budget,Vetoed
ABX3-10,2009 - 2010,Budget Act of 2009: revisions.,Evans,Assembly - Died
ABX4-10,2009 - 2010,Transportation.,Committee on Budget,Chaptered
ABX6-10,2009 - 2010,Service and volunteering.,Blumenfield,Chaptered
ABX7-10,2009 - 2010,Groundwater.,Bass,Assembly - Died - Rules
ABX8-10,2009 - 2010,Tribal gaming: compact assets.,Committee on Budget,Chaptered
AB-10,2011 - 2012,Minimum wage: annual adjustment.,Alejo,Assembly - Died - Appropriations
ABX1-10,2011 - 2012,Prison health care: overpayments.,Bonnie Lowenthal,Assembly - Died - Budget
AB-10,2013 - 2014,Minimum wage: annual adjustment.,Alejo,Chaptered
AB-10,2015 - 2016,Political Reform Act of 1974: economic interest disclosures.,Gatto,Assembly - Died
ABX1-10,2015 - 2016,Public works: contracts: extra compensation.,Levine,Assembly - Died
ABX2-10,2015 - 2016,Local taxes: authorization: cigarettes and tobacco products.,Bloom,Vetoed
AB-10,2017 - 2018,Feminine hygiene products: public school restrooms.,Cristina Garcia,Chaptered
AB-10,2019 - 2020,Income taxes: credits low-income housing: farmworker housing.,Chiu,Senate - Died - Appropriations
AB-10,2021 - 2022,Pupil instruction: in-person instruction: distance learning.,Ting,Assembly - Education
AB-11,2009 - 2010,Corporate reorganization: built-in losses.,De Leon,Chaptered
ABX1-11,2009 - 2010,Budget Act of 2008.,Evans,Senate - Died
ABX3-11,2009 - 2010,Special election.,Evans,Chaptered
ABX4-11,2009 - 2010,Public Resources.,Evans,Chaptered
ABX6-11,2009 - 2010,Disaster relief: County of San Mateo: San Bruno explosion.,Hill,Chaptered
ABX7-11,2009 - 2010,Water resources.,Bass,Assembly - Died - Rules
ABX8-11,2009 - 2010,Transportation: general obligation bonds: letters of no prejudice.,Committee on Budget,Chaptered
AB-11,2011 - 2012,Taxes: credits: small businesses.,Portantino,Assembly - Died - Revenue and Taxation
ABX1-11,2011 - 2012,Economic development: enterprise zones: targeted employment areas.,V. Manuel Pérez,Assembly - Died
AB-11,2013 - 2014,Employees: reserve peace officers and emergency rescue personnel.,Logue,Chaptered
AB-11,2015 - 2016,Employment: paid sick days: in-home supportive services.,Gonzalez,Assembly - Died - Appropriations
ABX1-11,2015 - 2016,Transportation projects: County of Merced: campus parkway project.,Gray,Assembly - Died
ABX2-11,2015 - 2016,Cigarette and tobacco product licensing: fees and funding.,Nazarian,Chaptered
AB-11,2017 - 2018,"Early and Periodic Screening, Diagnosis, and Treatment Program: screening services.",McCarty,Vetoed
AB-11,2019 - 2020,Community Redevelopment Law of 2019.,Chiu,Assembly - Died - Appropriations
AB-11,2021 - 2022,Climate change: regional climate change authorities.,Ward,Assembly - Natural Resources
AB-12,2009 - 2010,California Fostering Connections to Success Act.,Beall,Chaptered
ABX1-12,2009 - 2010,Tax: withholding on payments for goods and services.,Evans,Vetoed
ABX3-12,2009 - 2010,California State Lottery.,Evans,Chaptered
ABX4-12,2009 - 2010,State government.,Evans,Chaptered
ABX7-12,2009 - 2010,Sacramento-San Joaquin Delta Reform Act of 2009: California Bay-Delta Authority Act.,Bass,Assembly - Died - Rules
ABX8-12,2009 - 2010,Port and maritime security: grant program: extension.,Committee on Budget,Chaptered
AB-12,2011 - 2012,"Abolition of Child Commerce, Exploitation, and Sexual Slavery Act of 2011.",Swanson,Chaptered
ABX1-12,2011 - 2012,Local government finance: property tax revenue allocations: negative sum counties.,Bill Berryhill,Assembly - Died
AB-12,2013 - 2014,State government: Administrative Procedure Act: standardized regulatory impact analyses.,Cooley,Assembly - Died
AB-12,2015 - 2016,State government: administrative regulations: review.,Cooley,Senate - Died - Appropriations
ABX1-12,2015 - 2016,Los Angeles County Metropolitan Transportation Authority.,Nazarian,Assembly - Died
ABX2-12,2015 - 2016,Cadaveric fetal tissue.,Patterson,Assembly - Died
AB-12,2017 - 2018,State government: administrative regulations: review.,Cooley,Assembly - Died - Appropriations
AB-12,2019 - 2020,Firearms: gun violence restraining orders.,Irwin,Chaptered
AB-12,2021 - 2022,Personal information: social security numbers: the Employment Development Department.,Seyarto,Assembly - Insurance
AB-13,2009 - 2010,Sacramento-San Joaquin Delta Conservancy.,Salas,Senate - Died - Natural Resources and Water
ABX1-13,2009 - 2010,Budget Act of 2008.,Evans,Senate - Died
ABX3-13,2009 - 2010,State and local government.,Evans,Chaptered
ABX4-13,2009 - 2010,Courts omnibus bill: public safety.,Evans,Assembly - Died
ABX7-13,2009 - 2010,Sacramento-San Joaquin Delta: peripheral canal.,Huber,Assembly - Died - Rules
ABX8-13,2009 - 2010,Budget Act of 2009.,Committee on Budget,Senate - Died
AB-13,2011 - 2012,Public school volunteers.,Knight,Senate - Died - Education
ABX1-13,2011 - 2012,Energy: renewable resources: endangered species: environmental impact reports.,V. Manuel Pérez,Chaptered
AB-13,2013 - 2014,Nonresident tuition exemption: veterans.,Conway,Chaptered
AB-13,2015 - 2016,Public postsecondary education: community colleges: exemptions from nonresident tuition.,Chávez,Senate - Died - Education
ABX1-13,2015 - 2016,Greenhouse Gas Reduction Fund: streets and highways.,Grove,Assembly - Died
ABX2-13,2015 - 2016,Medi-Cal: AIDS Medi-Cal Waiver Program.,Gipson,Assembly - Died
AB-13,2017 - 2018,—580 Marine Highway.,Eggman,Assembly - Died - Transportation
AB-13,2019 - 2020,Education finance: Higher Education Facilities Bond Act of 2020.,Eggman,Assembly - Died - Higher Education
AB-13,2021 - 2022,Public contracts: automated decision systems.,Chau,Assembly - Appropriations
AB-14,2009 - 2010,Vehicles: nuisance abatement: impoundment.,Fuentes,Chaptered
ABX1-14,2009 - 2010,Corporate reorganization: built-in losses.,De Leon,Assembly - Died
ABX3-14,2009 - 2010,Corrections.,Arambula,Assembly - Died
ABX4-14,2009 - 2010,Property tax revenue allocations.,Committee on Budget,Chaptered
ABX7-14,2009 - 2010,"Safe, Clean, and Reliable Drinking Water Supply Act of 2010: flood protection.",Caballero,Assembly - Died - Rules
ABX8-14,2009 - 2010,State cash resources.,Committee on Budget,Chaptered
AB-14,2011 - 2012,Redevelopment: Fremont Redevelopment Agency.,Wieckowski,Assembly - Died - Housing and Community Development
ABX1-14,2011 - 2012,Energy: energy upgrade financing.,Skinner,Chaptered
AB-14,2013 - 2014,State freight plan.,Lowenthal,Chaptered
AB-14,2015 - 2016,Unmanned aircraft: identification requirements.,Waldron,Assembly - Died - Transportation
ABX1-14,2015 - 2016,State Highway Operation and Protection Program: local streets and roads: appropriation.,Waldron,Assembly - Died
ABX2-14,2015 - 2016,Food labeling: wastewater from oil and gas field activities.,Gatto,Assembly - Died
AB-14,2017 - 2018,Political Reform Act of 1974: campaign disclosures.,Gomez,Assembly - Died - Elections and Redistricting
AB-14,2019 - 2020,Multifamily Housing Program: homeless youths: homeless families.,Luz Rivas,Assembly - Died - Housing and Community Development
AB-14,2021 - 2022,Communications: broadband services: California Advanced Services Fund.,Aguiar-Curry,Assembly - Local Government
AB-15,2009 - 2010,Criminal procedure: pleas.,Fuentes,Vetoed
ABX3-15,2009 - 2010,Taxation: credits: apportionment: sales factor.,Krekorian,Chaptered
ABX4-15,2009 - 2010,Property tax revenue allocations.,Gaines,Chaptered
ABX8-15,2009 - 2010,Budget Act of 2009.,Committee on Budget,Senate - Died
AB-15,2011 - 2012,Workforce development: California Renewable Energy Workforce Readiness Initiative: local workforce investment boards.,V. Manuel Pérez,Assembly - Died - Labor and Employment
ABX1-15,2011 - 2012,Property tax: newly constructed: exclusion: active solar energy system.,Hill,Chaptered
AB-15,2013 - 2014,Department of Corrections and Rehabilitation: inmates: parole and postrelease supervision.,Bradford,Assembly - Died - Public Safety
AB-15,2015 - 2016,Limitation of actions: human rights abuses.,Holden,Chaptered
ABX1-15,2015 - 2016,State Highway Operation and Protection Program: local streets and roads: appropriation.,Patterson,Assembly - Died
ABX2-15,2015 - 2016,End of life.,Eggman,Chaptered
AB-15,2017 - 2018,Denti-Cal program: reimbursement rates.,Maienschein,Assembly - Died - Appropriations
AB-15,2019 - 2020,Student financial aid: California Kids Investment and Development Savings Program.,Nazarian,Senate - Died - Rules
AB-15,2021 - 2022,COVID-19 relief: tenancy: Tenant Stabilization Act of 2021.,Chiu,Assembly - Housing and Community Development
AB-16,2009 - 2010,Human trafficking.,Swanson,Assembly - Died - Appropriations
ABX3-16,2009 - 2010,State finance.,Evans,Chaptered
ABX4-16,2009 - 2010,State finances.,Evans,Assembly - Died
