Measure,Session Year,Subject,Author,Status
AB-65,2011 - 2012,Elections: statewide ballot pamphlet.,Gatto,Vetoed
AB-65,2013 - 2014,Crimes: sex crimes.,Achadjian,Chaptered
AB-65,2015 - 2016,Local law enforcement: body-worn cameras: grant program.,Alejo,Assembly - Died - Appropriations
AB-65,2017 - 2018,Transportation bond debt service.,Patterson,Assembly - Died - Transportation
AB-65,2019 - 2020,Coastal protection: climate adaption: project prioritization: natural infrastructure: local general plans.,Petrie-Norris,Chaptered
AB-65,2021 - 2022,California Universal Basic Income Program: Personal Income Tax.,Low,Assembly - Appropriations
AB-66,2009 - 2010,Pupil work permits.,Anderson,Chaptered
ABX3-66,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-66,2011 - 2012,Taxation: vehicle license fees.,Chesbro,Assembly - Died - Revenue and Taxation
AB-66,2013 - 2014,Electricity: system reliability.,Muratsuchi,Chaptered
AB-66,2015 - 2016,Peace officers: body-worn cameras.,Weber,Assembly - Died - Appropriations
AB-66,2017 - 2018,High-Speed Rail Authority: reports.,Patterson,Assembly - Died - Transportation
AB-66,2019 - 2020,Police: use of force.,Gonzalez,Senate - Died
AB-66,2021 - 2022,Coastal resources: research: landslides and erosion: early warning system: County of San Diego.,Boerner Horvath,Assembly - Appropriations
AB-67,2009 - 2010,California State University: Doctor of Nursing Practice degree.,Nava,Assembly - Died - Rules
ABX3-67,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-67,2011 - 2012,Sentencing: methamphetamine.,Huber,Assembly - Died - Public Safety
AB-67,2013 - 2014,Public postsecondary education: funding.,Olsen,Assembly - Died - Appropriations
AB-67,2015 - 2016,Double Pay on the Holiday Act of 2016.,Gonzalez,Assembly - Failed
AB-67,2017 - 2018,Violent and nonviolent felonies.,Rodriguez,Assembly - Died - Appropriations
AB-67,2019 - 2020,Homeless integrated data warehouse.,Luz Rivas,Senate - Died - Appropriations
AB-67,2021 - 2022,Sea level rise: working group: economic analysis.,Petrie-Norris,Assembly - Appropriations
AB-68,2009 - 2010,Solid waste: single-use carryout bags.,Brownley,Assembly - Died - Appropriations
ABX3-68,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-68,2011 - 2012,Tax Equity Allocation formula: County of Santa Clara.,Beall,Assembly - Died - Appropriations
AB-68,2013 - 2014,Parole.,Maienschein,Chaptered
AB-68,2015 - 2016,Medi-Cal.,Waldron,Vetoed
AB-68,2017 - 2018,School facilities: schoolsite acquisition.,Mathis,Assembly - Died - Education
AB-68,2019 - 2020,Land use: accessory dwelling units.,Ting,Chaptered
AB-68,2021 - 2022,Department of Housing and Community Development: California Statewide Housing Plan: annual reports.,Salas,Assembly - Appropriations
AB-69,2009 - 2010,Postsecondary education: enrollment growth.,Duvall,Assembly - Died - Higher Education
ABX3-69,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-69,2011 - 2012,Senior nutrition benefits.,Beall,Chaptered
AB-69,2013 - 2014,California Global Warming Solutions Act of 2006: market-based compliance mechanisms: exemption.,Perea,Senate - Died - Rules
AB-69,2015 - 2016,Peace officers: body-worn cameras.,Rodriguez,Chaptered
AB-69,2017 - 2018,State highways: roadside rests.,Travis Allen,Assembly - Died
AB-69,2019 - 2020,Help Homeowners Add New Housing Program: accessory dwelling unit financing.,Ting,Vetoed
AB-69,2021 - 2022,State of emergency: termination after 60 days: extension by the Legislature.,Kiley,Assembly - Emergency Management
AB-70,2009 - 2010,Public postsecondary education: genetic testing.,Norby,Senate - Died - Education
ABX3-70,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-70,2011 - 2012,State Department of Public Health: funding opportunities.,Monning,Senate - Died - Health
AB-70,2013 - 2014,Budget Bill: public availability.,Morrell,Assembly - Died - Budget
AB-70,2015 - 2016,Emergency medical services: reporting.,Waldron,Assembly - Died - Health
AB-70,2017 - 2018,California National Guard: improper payments.,Travis Allen,Assembly - Died - Veterans Affairs
AB-70,2019 - 2020,Private postsecondary education: California Private Postsecondary Education Act of 2009.,Berman,Chaptered
AB-70,2021 - 2022,Gene synthesis providers.,Salas,Assembly - Appropriations
AB-71,2009 - 2010,Categorical education funding: block grants.,Duvall,Assembly - Died - Education
ABX3-71,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-71,2011 - 2012,Political Reform Act of 1974: lobbyists.,Huber,Senate - Died - Appropriations
AB-71,2013 - 2014,Salton Sea restoration.,V. Manuel Pérez,Chaptered
AB-71,2015 - 2016,Criminal justice: reporting.,Rodriguez,Chaptered
AB-71,2017 - 2018,Income taxes: credits: low-income housing: farmworker housing.,Chiu,Assembly - Died
AB-71,2019 - 2020,Employment standards: independent contractors and employees.,Melendez,Assembly - Died - Labor and Employment
AB-71,2021 - 2022,Homelessness funding: Bring California Home Act.,Luz Rivas,Assembly - Housing and Community Development
AB-72,2009 - 2010,Pupil data.,Duvall,Assembly - Died - Education
ABX3-72,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-72,2011 - 2012,Health care coverage: acupuncture.,Eng,Assembly - Died - Appropriations
AB-72,2013 - 2014,Municipal water district: board of directors.,Holden,Chaptered
AB-72,2015 - 2016,Health care coverage: out-of-network coverage.,Bonta,Chaptered
AB-72,2017 - 2018,Housing.,Santiago,Chaptered
AB-72,2019 - 2020,Budget Act of 2018.,Committee on Budget,Chaptered
AB-72,2021 - 2022,Environmental protection: Natural Resources Agency: coastal adaptation projects: sea level rise: regulatory review and permitting: report.,Petrie-Norris,Assembly - Appropriations
AB-73,2009 - 2010,Marriage licenses: vital records: fees: domestic violence.,Hayashi,Chaptered
ABX3-73,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-73,2011 - 2012,Dependency proceedings: public access.,Feuer,Assembly - Died - Human Services
AB-73,2013 - 2014,2013–14 Budget.,Blumenfield,Assembly - Died - Budget
AB-73,2015 - 2016,Real property: disclosure.,Waldron,Chaptered
AB-73,2017 - 2018,Planning and zoning: housing sustainability districts.,Chiu,Chaptered
AB-73,2019 - 2020,Privacy: lodging and common carriers: state emergencies: Disaster Response-Emergency Operations Account.,Committee on Budget,Chaptered
AB-73,2021 - 2022,Employment safety: agricultural workers: wildfire smoke.,Robert Rivas,Assembly - Appropriations
AB-74,2009 - 2010,Flood control: Middle Creek and Hamilton City Flood Damage Reduction and Ecosystem Restoration Projects.,Chesbro,Chaptered
ABX3-74,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-74,2011 - 2012,Public event action plans and cooperative agreements for agricultural inspector services.,Ma,Chaptered
AB-74,2013 - 2014,Human services.,Committee on Budget,Chaptered
AB-74,2015 - 2016,Child care facilities: regulatory visits.,Calderon,Vetoed
AB-74,2017 - 2018,Housing.,Chiu,Chaptered
AB-74,2019 - 2020,Budget Act of 2019.,Ting,Chaptered
AB-74,2021 - 2022,Unemployment and disability benefit payments: direct deposit.,Lorena Gonzalez,Assembly - Appropriations
AB-75,2009 - 2010,Medi-Cal.,Huffman,Senate - Died
ABX3-75,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-75,2011 - 2012,Documents: notaries public: solicitations.,Hill,Chaptered
AB-75,2013 - 2014,Alcohol and drug programs.,Committee on Budget,Chaptered
AB-75,2015 - 2016,Veterans.,Mathis,Assembly - Died - Appropriations
AB-75,2017 - 2018,Personal income taxes: earned income credit.,Steinorth,Assembly - Died - Revenue and Taxation
AB-75,2019 - 2020,Budget Act of 2019: augmentation.,Committee on Budget,Chaptered
AB-75,2021 - 2022,Education finance: school facilities: Kindergarten-Community Colleges Public Education Facilities Bond Act of 2022.,O'Donnell,Assembly - Appropriations
AB-76,2009 - 2010,Life and Annuity Consumer Protection Fund.,Yamada,Chaptered
ABX3-76,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-76,2011 - 2012,High-speed rail.,Harkey,Assembly - Died - Transportation
AB-76,2013 - 2014,State government.,Committee on Budget,Vetoed
AB-76,2015 - 2016,Tribal gaming: regulatory costs.,Mathis,Assembly - Died
AB-76,2017 - 2018,Adult-use marijuana: marketing.,Chau,Senate - Died - Appropriations
AB-76,2019 - 2020,Education finance: apportionments.,Committee on Budget,Chaptered
AB-76,2021 - 2022,Interdistrict transfer of pupils: prohibition on transfers by a school district of residence: in-person instruction.,Kiley,Assembly - Education
AB-77,2009 - 2010,Vehicles: notice of delinquent parking violation.,Jeffries,Assembly - Died - Transportation
ABX3-77,2009 - 2010,Unclaimed property: gift certificates: poison control center funding.,Torlakson,Assembly - Died
AB-77,2011 - 2012,Governmental reorganization: tax functions.,Gorell,Assembly - Died - Revenue and Taxation
AB-77,2013 - 2014,Budget Act of 2013: public resources.,Committee on Budget,Legislature - Died
AB-77,2015 - 2016,Milk and Milk Products Act of 1947.,Mathis,Assembly - Died
AB-77,2017 - 2018,Regulations: effective dates and legislative review.,Fong,Assembly - Died - Appropriations
AB-77,2019 - 2020,Education finance: education omnibus budget trailer bill.,Committee on Budget,Senate - Died
AB-77,2021 - 2022,Substance use disorder treatment services.,Petrie-Norris,Assembly - Health
AB-78,2009 - 2010,Pupils: concurrent enrollment in community college and secondary or elementary school.,Portantino,Assembly - Died - Appropriations
ABX3-78,2009 - 2010,Adult day health care centers.,Jones,Assembly - Died
AB-78,2011 - 2012,Immigrants’ rights.,Mendoza,Assembly - Died - Judiciary
AB-78,2013 - 2014,Energy: Proposition 39 implementation.,Committee on Budget,Senate - Died
AB-78,2015 - 2016,Groundwater basins.,Mathis,Assembly - Died
AB-78,2017 - 2018,Vessels: operation and equipment: blue lights.,Cooper,Chaptered
AB-78,2019 - 2020,Bergeson-Peace Infrastructure and Economic Development Bank.,Committee on Budget,Chaptered
AB-78,2021 - 2022,San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy: territory: Dominguez Channel watershed and Santa Catalina Island.,O'Donnell,Assembly - Appropriations
AB-79,2009 - 2010,Disaster relief.,Duvall,Senate - Died
ABX3-79,2009 - 2010,Environmental protection: California Environmental Protection Agency: rules: economic analysis.,Blakeslee,Assembly - Died
AB-79,2011 - 2012,University of California: technology commercialization: tax credit.,Beall,Assembly - Died - Higher Education
AB-79,2013 - 2014,Budget Act of 2013.,Committee on Budget,Senate - Died
AB-79,2015 - 2016,State highway routes: route numbers.,Mathis,Assembly - Died
AB-79,2017 - 2018,Electrical generation: hourly greenhouse gas emissions: electricity from unspecified sources.,Levine,Assembly - In Desk Process
AB-79,2019 - 2020,Human services omnibus.,Committee on Budget,Chaptered
AB-79,2021 - 2022,Budget Act of 2020.,Committee on Budget,Senate - Second Reading
AB-80,2009 - 2010,Reservoirs: recreational use.,Blakeslee,Assembly - Died
ABX3-80,2009 - 2010,State employment: salary freeze.,Portantino,Assembly - Died
AB-80,2011 - 2012,Presidential primary: election date.,Fong,Chaptered
AB-80,2013 - 2014,Drought relief.,Committee on Budget,Senate - Died
AB-80,2015 - 2016,Interagency Task Force on the Status of Boys and Men of Color.,Campos,Vetoed
AB-80,2017 - 2018,Doctoral program: agricultural education.,Arambula,Assembly - Died - Higher Education
AB-80,2019 - 2020,Public health omnibus.,Committee on Budget,Chaptered
AB-80,2021 - 2022,"Taxation: Coronavirus Aid, Relief, and Economic Security Act: Federal Consolidated Appropriations Act, 2021.",Burke,Enrolled
AB-81,2009 - 2010,Interscholastic athletics: pupils in foster care.,Audra Strickland,Chaptered
ABX3-81,2009 - 2010,Land use: City of Industry: stadium complex.,Hall,Chaptered
AB-81,2011 - 2012,Sales and use taxes: exemptions: fuel and petroleum products: air common carriers.,Beall,Assembly - Died - Appropriations
AB-81,2013 - 2014,Public safety: domestic abuse.,Committee on Budget,Chaptered
AB-81,2015 - 2016,Hospitals: seismic safety.,Wood,Chaptered
AB-81,2017 - 2018,English learners: identification: notice.,Gonzalez Fletcher,Chaptered
AB-81,2019 - 2020,Public health funding: health facilities and services.,Committee on Budget,Chaptered
AB-81,2021 - 2022,COVID-19 relief.,Ting,Chaptered
AB-82,2009 - 2010,Dependent children: psychotropic medications.,Evans,Vetoed
ABX3-82,2009 - 2010,Economic development: projects.,Blakeslee,Assembly - Died
AB-82,2011 - 2012,Vehicles: firefighting equipment.,Jeffries,Chaptered
AB-82,2013 - 2014,Health.,Committee on Budget,Chaptered
AB-82,2015 - 2016,Vehicles: driver’s license: selective service.,Cristina Garcia,Vetoed
AB-82,2017 - 2018,Vital records: diacritical marks.,Medina,Assembly - In Desk Process
AB-82,2019 - 2020,State government.,Committee on Budget,Chaptered
AB-82,2021 - 2022,COVID-19 pandemic emergency: contact tracing: childcare.,Ting,Chaptered
AB-83,2009 - 2010,Torts: personal liability immunity.,Feuer,Chaptered
ABX3-83,2009 - 2010,Housing and Emergency Shelter Trust Fund of 2006: CalReUSE program.,Skinner,Assembly - Died
AB-83,2011 - 2012,Environment: CEQA exemption: recycled water pipeline.,Jeffries,Assembly - Died - Natural Resources
AB-83,2013 - 2014,Public health: Medi-Cal managed care plan taxes.,Committee on Budget,Senate - Died
AB-83,2015 - 2016,Personal data.,Gatto,Senate - Died - Judiciary
AB-83,2017 - 2018,Collective bargaining: Judicial Council.,Santiago,Chaptered
AB-83,2019 - 2020,Housing.,Committee on Budget,Chaptered
AB-83,2021 - 2022,Alcoholic beverage control: license renewal fees: waiver.,Committee on Budget,Chaptered
AB-84,2009 - 2010,Vote by mail ballots.,Hill,Vetoed
ABX3-84,2009 - 2010,Solid waste: resource recycling and recovery.,Gaines,Assembly - Died
AB-84,2011 - 2012,Elections: new citizens.,Fong,Chaptered
AB-84,2013 - 2014,Corrections.,John A. Pérez,Senate - Died
AB-84,2015 - 2016,Forensic testing: DNA samples.,Gatto,Assembly - Died - Appropriations
AB-84,2017 - 2018,Political Reform Act of 1974: political party committee disclosures.,Mullin,Senate - Died
AB-84,2019 - 2020,Public employment and retirement.,Committee on Budget,Chaptered
AB-84,2021 - 2022,Employment: rehiring and retention: displaced workers.,Committee on Budget,Senate - Second Reading
AB-85,2009 - 2010,Junk dealers and recyclers.,Tom Berryhill,Chaptered
ABX3-85,2009 - 2010,Bonds.,V. Manuel Perez,Assembly - Died
AB-85,2011 - 2012,School facilities: security locks.,Mendoza,Assembly - Died - Appropriations
AB-85,2013 - 2014,Health and human services.,Committee on Budget,Chaptered
AB-85,2015 - 2016,Open meetings.,Wilk,Vetoed
AB-85,2017 - 2018,General assistance: employable veterans.,Rodriguez,Senate - Died - Veterans Affairs
AB-85,2019 - 2020,State taxes and charges.,Committee on Budget,Chaptered
AB-85,2021 - 2022,Budget Act of 2020.,Committee on Budget,Chaptered
AB-86,2009 - 2010,Public employees’ retirement: airport police officers.,Nava,Chaptered
AB-86,2011 - 2012,Charter schools: authorization: petition.,Mendoza,Vetoed
AB-86,2013 - 2014,Education finance: education omnibus trailer bill.,Committee on Budget,Chaptered
AB-86,2015 - 2016,Peace officers: Department of Justice: independent investigation.,McCarty,Assembly - Died - Appropriations
AB-86,2017 - 2018,Government innovation fellows program.,Calderon,Senate - Died - Appropriations
AB-86,2019 - 2020,Budget Act of 2019: Budget Act of 2020.,Committee on Budget,Senate - Died
AB-86,2021 - 2022,"COVID-19 relief and school reopening, reporting, and public health requirements.",Committee on Budget,Chaptered
AB-87,2009 - 2010,Single-use carryout bags: environmental effects: mitigation.,Davis,Assembly - Died - Appropriations
AB-87,2011 - 2012,Home furnishings: inspections: compensation.,Logue,Assembly - Died - Appropriations
AB-87,2013 - 2014,Investment in Mental Health Wellness Act of 2013.,Committee on Budget,Senate - Died
AB-87,2015 - 2016,Jurors: peremptory challenge.,Mark Stone,Chaptered
AB-87,2017 - 2018,Vehicles: removal: autonomous vehicles.,Ting,Chaptered
AB-87,2019 - 2020,Transportation.,Committee on Budget,Senate - Died - Budget and Fiscal Review
AB-87,2021 - 2022,Juvenile Justice.,Committee on Budget,Senate - Second Reading
AB-88,2009 - 2010,State employees: memoranda of understanding.,"Committee on Public Employees, Retirement and Social Security",Senate - Died
AB-88,2011 - 2012,Food labeling: genetically engineered food.,Huffman,Assembly - Died - Appropriations
AB-88,2013 - 2014,School finance: new pupil funding formula.,Buchanan,Assembly - Died - Education
AB-88,2015 - 2016,Sales and use taxes: exemption: energy or water efficient home appliances.,Gomez,Vetoed
AB-88,2017 - 2018,Nowr?z Day.,Nazarian,Chaptered
AB-88,2019 - 2020,Public safety.,Committee on Budget,Senate - Died
AB-88,2021 - 2022,One-time stimulus and grant payments: garnishment: exclusion from gross income.,Committee on Budget,Chaptered
AB-89,2009 - 2010,Taxation: cigarettes and other tobacco products.,Torlakson,Assembly - Died - Governmental Organization
AB-89,2011 - 2012,County employees’ retirement.,Hill,Chaptered
AB-89,2013 - 2014,Developmental services.,Committee on Budget,Chaptered
AB-89,2015 - 2016,Sales and use taxes: exemptions: public schools.,Travis Allen,Assembly - Died - Revenue and Taxation
AB-89,2017 - 2018,Psychologists: suicide prevention training.,Levine,Chaptered
AB-89,2019 - 2020,Budget Act of 2020.,Ting,Chaptered
AB-89,2021 - 2022,Peace officers: minimum qualifications.,Jones-Sawyer,Assembly - Second Reading
AB-90,2009 - 2010,Torts: personal liability immunity.,Adams,Assembly - Died - Judiciary
AB-90,2011 - 2012,Human trafficking: minors.,Swanson,Chaptered
AB-90,2013 - 2014,Budget Act of 2013.,Committee on Budget,Senate - Died - Rules
AB-90,2015 - 2016,Federal Housing Trust Fund.,Chau,Chaptered
AB-90,2017 - 2018,Criminal gangs.,Weber,Chaptered
AB-90,2019 - 2020,Transportation.,Committee on Budget,Chaptered
AB-90,2021 - 2022,Consumer credit reports: security freezes: protected consumers.,Valladares,Assembly - Banking and Finance
AB-91,2009 - 2010,Vehicles: driving under the influence (DUI): ignition interlock device.,Feuer,Chaptered
AB-91,2011 - 2012,Community colleges: student financial aid: pilot program.,Portantino,Vetoed
AB-91,2013 - 2014,Transportation.,Blumenfield,Senate - Died
AB-91,2015 - 2016,Budget Act of 2014.,Committee on Budget,Chaptered
AB-91,2017 - 2018,High-occupancy vehicle lanes.,Cervantes,Chaptered
AB-91,2019 - 2020,Income taxation: Loophole Closure and Small Business and Working Families Tax Relief Act of 2019.,Burke,Chaptered
AB-91,2021 - 2022,Taxation: corporations: minimum franchise tax: limited liability companies: annual tax: small businesses: microbusinesses.,Valladares,Assembly - Revenue and Taxation
AB-92,2009 - 2010,State claims.,De Leon,Chaptered
AB-92,2011 - 2012,2011–12 Budget.,Blumenfield,Assembly - Died - Budget
AB-92,2013 - 2014,State government.,Committee on Budget,Chaptered
AB-92,2015 - 2016,Water.,Committee on Budget,Chaptered
AB-92,2017 - 2018,Public contracts: payment.,Bonta,Chaptered
AB-92,2019 - 2020,Public resources: omnibus trailer bill.,Committee on Budget,Chaptered
AB-92,2021 - 2022,Preschool and childcare and development services: family fees.,Reyes,Assembly - Second Reading
AB-93,2009 - 2010,Claims against the state: appropriation.,De Leon,Chaptered
AB-93,2011 - 2012,Elections: City of Bell.,Lara,Chaptered
AB-93,2013 - 2014,"Economic development: taxation: credits, deductions, exemptions, and net operating losses.",Committee on Budget,Chaptered
AB-93,2015 - 2016,Budget Act of 2015.,Weber,Chaptered
AB-93,2017 - 2018,Healing arts: marriage and family therapists: clinical social workers: professional clinical counselors: required experience and supervision.,Medina,Chaptered
AB-93,2019 - 2020,Personal income taxes: earned income tax credit: young child tax credit: federal individual taxpayer identification number.,Committee on Budget,Chaptered
AB-93,2021 - 2022,Pandemic response practices.,Eduardo Garcia,Assembly - Health
AB-94,2009 - 2010,Natural Heritage Preservation Tax Credit Act of 2000.,Evans,Chaptered
AB-94,2011 - 2012,Criminal justice realignment.,Committee on Budget,Chaptered
AB-94,2013 - 2014,Education finance: higher education.,Committee on Budget,Chaptered
AB-94,2015 - 2016,Health.,Committee on Budget,Senate - Died
AB-94,2017 - 2018,Corporation Tax Law: exemption: veteran’s organizations.,Rodriguez,Chaptered
AB-94,2019 - 2020,Postsecondary education trailer bill.,Committee on Budget,Assembly - Died
AB-94,2021 - 2022,Correctional officers.,Jones-Sawyer,Assembly - Public Employment and Retirement
AB-95,2009 - 2010,Student athletes: recruiting: disclosure.,Torlakson,Assembly - Died - Higher Education
AB-95,2011 - 2012,Public resources.,Committee on Budget,Chaptered
AB-95,2013 - 2014,Budget Act of 2012: augmentation.,Committee on Budget,Senate - Died
AB-95,2015 - 2016,Transportation.,Committee on Budget,Chaptered
AB-95,2017 - 2018,Public postsecondary education: California State University: Baccalaureate Degree Pilot Program.,Jones-Sawyer,Assembly - Died - Higher Education
AB-95,2019 - 2020,Courts.,Committee on Budget,Senate - Died - Budget and Fiscal Review
AB-95,2021 - 2022,Employees: bereavement leave.,Low,Assembly - Appropriations
AB-96,2009 - 2010,Gasoline: underground storage tanks.,Ruskin,Chaptered
AB-96,2011 - 2012,Keeping Adults Free from Institutions program.,Committee on Budget,Vetoed
AB-96,2013 - 2014,Budget Act of 2013.,Committee on Budget,Senate - Died - Rules
AB-96,2015 - 2016,Animal parts and products: importation or sale of ivory and rhinoceros horn.,Atkins,Chaptered
AB-96,2017 - 2018,Budget Act of 2017.,Ting,Assembly - Died - Budget
AB-96,2019 - 2020,Emergency Telephone Users Surcharge Act.,Committee on Budget,Senate - Died - Budget and Fiscal Review
AB-96,2021 - 2022,"California Clean Truck, Bus, and Off-Road Vehicle and Equipment Technology Program.",O'Donnell,Assembly - Transportation
AB-97,2009 - 2010,School curriculum: content standards.,Torlakson,Vetoed
AB-97,2011 - 2012,Health care services.,Committee on Budget,Chaptered
AB-97,2013 - 2014,School finance.,Committee on Budget,Chaptered
AB-97,2015 - 2016,In-home supportive services: provider wages.,Weber,Vetoed
AB-97,2017 - 2018,Budget Act of 2017.,Ting,Chaptered
AB-97,2019 - 2020,Cannabis.,Committee on Budget,Chaptered
AB-97,2021 - 2022,Health care coverage: insulin affordability.,Nazarian,Assembly - Appropriations
AB-98,2009 - 2010,Maternity services.,De La Torre,Vetoed
AB-98,2011 - 2012,Budget Act of 2011.,Committee on Budget,Vetoed
AB-98,2013 - 2014,Property insurance: Seismic Safety Account.,Committee on Budget,Chaptered
AB-98,2015 - 2016,Corporation Tax Law.,Travis Allen,Assembly - Died
AB-98,2017 - 2018,Budget Act of 2016: augmentation.,Committee on Budget,Chaptered
AB-98,2019 - 2020,Budget Act of 2019.,Ting,Senate - Died - Budget and Fiscal Review
